"","y","m","ym_num","prov","n","n_pred","margin","n_extra","n_extra_normalized"
"1",1398,12,1398.95833333333,"آذربايجان شرقي",1679,1614.90000000001,1785.85769457189,0,0
"2",1398,12,1398.95833333333,"آذربايجان غربي",1124,1151.3,1300.93912144445,0,0
"3",1398,12,1398.95833333333,"اردبيل",466,465.599999999999,590.331177604735,0,0
"4",1398,12,1398.95833333333,"اصفهان",1932,1792.5,2052.0388217589,0,0
"5",1398,12,1398.95833333333,"البرز",951,869.199999999983,953.165072103415,0,0
"6",1398,12,1398.95833333333,"ايلام",202,154.5,173.00045044496,47.5,0.0254828326180258
"7",1398,12,1398.95833333333,"بوشهر",308,350,434.884234892784,0,0
"8",1398,12,1398.95833333333,"تهران",4452,4498.60000000001,5242.84870395141,0,0
"9",1398,12,1398.95833333333,"چهارمحال و بختياري",274,188.400000000009,365.041256034171,0,0
"10",1398,12,1398.95833333333,"خراسان جنوبي",252,258.400000000001,343.350181479106,0,0
"11",1398,12,1398.95833333333,"خراسان رضوي",2298,2495.79999999999,3005.23471940311,0,0
"12",1398,12,1398.95833333333,"خراسان شمالي",354,370.699999999998,433.923413384598,0,0
"13",1398,12,1398.95833333333,"خوزستان",1462,1664.10000000001,1991.78501135492,0,0
"14",1398,12,1398.95833333333,"زنجان",390,347.400000000001,443.324970680209,0,0
"15",1398,12,1398.95833333333,"سمنان",259,251.000000000003,293.224795243241,0,0
"16",1398,12,1398.95833333333,"سيستان و بلوچستان",807,1361.90000000001,1909.46028587423,0,0
"17",1398,12,1398.95833333333,"فارس",1577,1745.9,2180.47059265441,0,0
"18",1398,12,1398.95833333333,"قزوين",490,488.999999999995,612.175755190158,0,0
"19",1398,12,1398.95833333333,"قم",1042,469.400000000001,588.767220514401,572.599999999999,0.126095573662189
"20",1398,12,1398.95833333333,"کردستان",478,516.900000000009,614.57360612435,0,0
"21",1398,12,1398.95833333333,"کرمان",982,1062.39999999999,1385.53382160748,0,0
"22",1398,12,1398.95833333333,"کرمانشاه",787,806.299999999996,911.396146456463,0,0
"23",1398,12,1398.95833333333,"کهگيلويه و بويراحمد",190,249.399999999997,333.539566594238,0,0
"24",1398,12,1398.95833333333,"گلستان",934,648.600000000006,831.083606569652,285.399999999994,0.0417007597895959
"25",1398,12,1398.95833333333,"گيلان",2197,1338.39999999999,1567.17529004097,858.600000000009,0.0665220423026272
"26",1398,12,1398.95833333333,"لرستان",619,658.699999999999,796.462597730054,0,0
"27",1398,12,1398.95833333333,"مازندران",1511,1262.9,1542.28670929973,0,0
"28",1398,12,1398.95833333333,"مرکزي",662,590.899999999998,680.02238775975,0,0
"29",1398,12,1398.95833333333,"هرمزگان",489,500.100000000006,612.158913077011,0,0
"30",1398,12,1398.95833333333,"همدان",752,794.399999999998,941.398412689839,0,0
"31",1398,12,1398.95833333333,"يزد",342,397.099999999996,469.16201033369,0,0
"32",1398,11,1398.875,"آذربايجان شرقي",1732,2171.10000000001,2526.90650172062,0,0
"33",1398,11,1398.875,"آذربايجان غربي",1241,1535.89999999999,1765.26986143199,0,0
"34",1398,11,1398.875,"اردبيل",563,613.999999999993,690.820136249115,0,0
"35",1398,11,1398.875,"اصفهان",1990,2452.70000000001,2768.20150554314,0,0
"36",1398,11,1398.875,"البرز",940,1106.50000000001,1364.64388752528,0,0
"37",1398,11,1398.875,"ايلام",170,195.999999999996,268.140603453711,0,0
"38",1398,11,1398.875,"بوشهر",390,443.900000000005,514.466280899593,0,0
"39",1398,11,1398.875,"تهران",4896,6028.40000000002,6668.37041598295,0,0
"40",1398,11,1398.875,"چهارمحال و بختياري",314,275.899999999987,445.448026627635,0,0
"41",1398,11,1398.875,"خراسان جنوبي",314,353.500000000002,459.485533604042,0,0
"42",1398,11,1398.875,"خراسان رضوي",2454,3166.50000000003,3937.45672165606,0,0
"43",1398,11,1398.875,"خراسان شمالي",355,431.500000000004,550.44368415347,0,0
"44",1398,11,1398.875,"خوزستان",1785,2107.3,2403.68960845481,0,0
"45",1398,11,1398.875,"زنجان",418,499.299999999994,635.377918855332,0,0
"46",1398,11,1398.875,"سمنان",287,343.700000000004,404.813010071509,0,0
"47",1398,11,1398.875,"سيستان و بلوچستان",1154,1488.10000000002,1953.82252110745,0,0
"48",1398,11,1398.875,"فارس",1822,2245.00000000003,2819.34345125544,0,0
"49",1398,11,1398.875,"قزوين",482,578.099999999999,670.382898379562,0,0
"50",1398,11,1398.875,"قم",525,586.300000000003,680.490586932377,0,0
"51",1398,11,1398.875,"کردستان",580,695.700000000008,850.833920640633,0,0
"52",1398,11,1398.875,"کرمان",1137,1415.8,1710.66901046623,0,0
